,CODE,STATE,FIPS,CASES,DEATHS,DATE
0,AL,Alabama,1.0,6.0,0.0,2020-03-13
1,AL,Alabama,1.0,12.0,0.0,2020-03-14
2,AL,Alabama,1.0,23.0,0.0,2020-03-15
3,AL,Alabama,1.0,29.0,0.0,2020-03-16
4,AL,Alabama,1.0,39.0,0.0,2020-03-17
5,AL,Alabama,1.0,51.0,0.0,2020-03-18
6,AL,Alabama,1.0,78.0,0.0,2020-03-19
7,AL,Alabama,1.0,106.0,0.0,2020-03-20
8,AL,Alabama,1.0,131.0,0.0,2020-03-21
9,AL,Alabama,1.0,157.0,0.0,2020-03-22
10,AL,Alabama,1.0,196.0,0.0,2020-03-23
11,AL,Alabama,1.0,242.0,0.0,2020-03-24
12,AL,Alabama,1.0,386.0,1.0,2020-03-25
13,AL,Alabama,1.0,538.0,3.0,2020-03-26
14,AL,Alabama,1.0,639.0,4.0,2020-03-27
15,AL,Alabama,1.0,720.0,4.0,2020-03-28
16,AL,Alabama,1.0,830.0,5.0,2020-03-29
17,AL,Alabama,1.0,947.0,11.0,2020-03-30
18,AL,Alabama,1.0,999.0,14.0,2020-03-31
19,AL,Alabama,1.0,1108.0,28.0,2020-04-01
20,AL,Alabama,1.0,1270.0,32.0,2020-04-02
21,AL,Alabama,1.0,1535.0,38.0,2020-04-03
22,AL,Alabama,1.0,1632.0,44.0,2020-04-04
23,AL,Alabama,1.0,1840.0,45.0,2020-04-05
24,AL,Alabama,1.0,2005.0,53.0,2020-04-06
25,AL,Alabama,1.0,2197.0,64.0,2020-04-07
26,AL,Alabama,1.0,2498.0,67.0,2020-04-08
27,AL,Alabama,1.0,2838.0,78.0,2020-04-09
28,AL,Alabama,1.0,3008.0,80.0,2020-04-10
29,AL,Alabama,1.0,3262.0,93.0,2020-04-11
30,AL,Alabama,1.0,3583.0,93.0,2020-04-12
31,AL,Alabama,1.0,3805.0,104.0,2020-04-13
32,AL,Alabama,1.0,3953.0,114.0,2020-04-14
33,AL,Alabama,1.0,4241.0,123.0,2020-04-15
34,AL,Alabama,1.0,4404.0,137.0,2020-04-16
35,AL,Alabama,1.0,4572.0,151.0,2020-04-17
36,AL,Alabama,1.0,4723.0,147.0,2020-04-18
37,AL,Alabama,1.0,4903.0,160.0,2020-04-19
38,AL,Alabama,1.0,5078.0,164.0,2020-04-20
39,AL,Alabama,1.0,5327.0,186.0,2020-04-21
40,AL,Alabama,1.0,5610.0,201.0,2020-04-22
41,AL,Alabama,1.0,5832.0,197.0,2020-04-23
42,AL,Alabama,1.0,6026.0,209.0,2020-04-24
43,AL,Alabama,1.0,6213.0,213.0,2020-04-25
44,AL,Alabama,1.0,6421.0,219.0,2020-04-26
45,AL,Alabama,1.0,6539.0,228.0,2020-04-27
46,AL,Alabama,1.0,6750.0,242.0,2020-04-28
47,AL,Alabama,1.0,6925.0,262.0,2020-04-29
48,AL,Alabama,1.0,7068.0,272.0,2020-04-30
49,AL,Alabama,1.0,7294.0,289.0,2020-05-01
50,AL,Alabama,1.0,7611.0,288.0,2020-05-02
51,AL,Alabama,1.0,7888.0,290.0,2020-05-03
52,AL,Alabama,1.0,8112.0,298.0,2020-05-04
