state,latitude,longitude,name,naicscnt,area
DC,38.905985,-77.033418,District of Columbia,14410,68.34
RI,41.580095,-71.477429,Rhode Island,22717,1544.89
DE,38.910832,-75.52767,Delaware,18294,2488.72
PR,18.220833,-66.590149,Puerto Rico,15662,5324.84
CT,41.603221,-73.087749,Connecticut,75393,5543.41
NJ,40.058324,-74.405661,New Jersey,189624,8722.58
NH,43.193852,-71.572395,New Hampshire,32735,9349.16
VT,44.558803,-72.577841,Vermont,19681,9616.36
MA,42.407211,-71.382437,Massachusetts,141781,10554.39
HI,19.898682,-155.665857,Hawaii,29925,10931.72
MD,39.045755,-76.641271,Maryland,121143,12405.93
WV,38.597626,-80.454903,West Virginia,49703,24230.04
SC,33.836081,-81.163725,South Carolina,129176,32020.49
ME,45.253783,-69.445469,Maine,33443,35379.74
IN,40.551217,-85.602364,Indiana,183045,36419.55
KY,37.839333,-84.270018,Kentucky,152518,40407.8
TN,35.517491,-86.580447,Tennessee,224093,42144.25
VA,37.431573,-78.656894,Virginia,251602,42774.93
OH,40.417287,-82.907123,Ohio,296022,44825.58
PA,41.203322,-77.194525,Pennsylvania,295797,46054.34
MS,32.354668,-89.398528,Mississippi,106071,48431.78
LA,31.244823,-92.145024,Louisiana,116693,52378.13
AL,32.318231,-86.902298,Alabama,139955,52420.07
AR,35.20105,-91.831833,Arkansas,96573,53178.55
NC,35.759573,-79.0193,North Carolina,285989,53819.16
NY,43.299428,-74.217933,New York,387510,54554.98
IA,41.878003,-93.097702,Iowa,104087,56272.81
IL,40.633125,-89.398528,Illinois,304707,57913.55
GA,32.157435,-82.907123,Georgia,344982,59425.15
WI,43.78444,-88.787868,Wisconsin,165416,65496.38
FL,27.664827,-81.515754,Florida,465266,65757.7
MO,37.964253,-91.831833,Missouri,174713,69706.99
OK,35.007752,-97.092877,Oklahoma,106109,69898.87
ND,47.551493,-101.002012,North Dakota,24334,70698.32
WA,47.751074,-120.740139,Washington,150112,71297.95
SD,43.969515,-99.901813,South Dakota,35526,77115.68
NE,41.492537,-99.901813,Nebraska,59200,77347.81
KS,39.011902,-98.484246,Kansas,85536,82278.36
ID,44.068202,-114.742041,Idaho,46061,83568.95
UT,39.32098,-111.093731,Utah,55709,84896.88
MN,46.729553,-94.6859,Minnesota,150240,86935.83
MI,44.314844,-85.602364,Michigan,231132,96713.51
WY,43.075968,-107.290284,Wyoming,15348,97813.01
OR,43.804133,-120.554201,Oregon,110325,98378.54
CO,39.550051,-105.782067,Colorado,180219,104093.67
NV,38.80261,-116.419389,Nevada,61187,110571.82
AZ,34.048928,-111.093731,Arizona,125427,113990.3
NM,34.97273,-105.032363,New Mexico,39112,121590.3
MT,46.879682,-110.362566,Montana,33093,147039.71
CA,36.778261,-119.417932,California,843905,163694.74
TX,31.968599,-99.901813,Texas,673450,268596.46
AK,63.588753,-154.493062,Alaska,14375,665384.04
