REGION,Popn,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110
AK,731158,1579728,1334381,1051430,689977,907347,1071922,1154770,1115433,1028388,1015156,1015156,937850,941661,883362,1063025,1080989,1209926,1288035,1370206,1342967,1204814,1172082
AL,4921532,28873012,27328315,22399578,13910872,20605453,23101088,23682128,24608275,23419429,25424340,25424340,24000228,23541600,22965636,29518510,29799369,29926647,27821741,28617346,29272662,28884455,30716839
AR,3030522,15069961,14218236,11476797,7733293,10130396,11197835,11591073,12550015,12621951,13448199,13448199,12247879,12185818,10391238,15495244,15540128,15691321,14436610,14520080,15878432,15998424,16802878
AS,,658,419,800,173,153,79,518,854,99,124,124,63,59,131,26,69,61,27,8,3,53,7
AZ,7421401,29040288,25483721,20029483,11459551,14736349,16371090,15873376,17087722,17180570,19309468,19309468,18369942,17568851,17477894,21448289,21049163,21175876,19146645,19794372,21757625,21803633,22929357
CA,39368078,132914440,120866661,86795916,44716910,55573848,67717141,72358235,74375663,70394965,75191789,75191789,69310847,64533954,63987967,76674341,78844725,86366726,84284496,87974511,90845054,89690967,93391586
CO,5807719,23195489,19552787,14954737,7763612,10816500,13560674,15768661,16101678,14691938,14967751,14967751,13918504,13633880,12855566,15858148,15625935,16836392,17063192,18092973,17943660,17480086,17578005
CT,3557006,11232058,9902463,7170006,3703002,4890114,6160648,6795616,7239165,7140669,7238583,7238583,6258421,6015527,5487841,7054300,7121357,7939993,7375531,7276577,7266184,7842177,8149141
DC,712816,3322137,3141299,2130484,782607,929826,1097836,1311607,1304169,1325119,1359378,1359378,1225832,1369078,1043527,1325426,1357909,1344880,1462969,1656381,1631221,1567378,1653273
DE,986809,3370370,3169615,2308220,1289153,1632721,2374060,2569646,2597541,2347673,2341780,2341780,2108806,1979008,1819593,2401371,2445584,2695838,2721333,2992502,2862259,2742785,2801645
FL,21733312,116442103,102098408,77059632,38952119,55852568,68239917,69403630,70511762,68754822,75401739,75401739,75374903,71412693,68064808,85787995,89251834,91566061,89389212,89939228,81718217,78381236,85729320
