DATE,STCODE,STATE,CENSUS,VACPOPN
2020-12-13,AK,Alaska,710188,0
2020-12-13,AL,Alabama,4921532,0
2020-12-13,AR,Arkansas,3030522,0
2020-12-13,AZ,Arizona,7421401,0
2020-12-13,CA,California,39368078,0
2020-12-13,CO,Colorado,5807719,0
2020-12-13,CT,Connecticut,3557006,0
2020-12-13,DC,"District of Columbia",1425632,0
2020-12-13,DE,Delaware,986809,0
2020-12-13,FL,Florida,21733312,0
2020-12-13,GA,Georgia,10710017,0
2020-12-13,HI,Hawaii,1407006,0
2020-12-13,IA,Iowa,3163561,0
2020-12-13,ID,Idaho,1826913,0
2020-12-13,IL,Illinois,12587530,0
2020-12-13,IN,Indiana,6754953,0
2020-12-13,KS,Kansas,2913805,0
2020-12-13,KY,Kentucky,4477251,0
2020-12-13,LA,Louisiana,4630297,0
2020-12-13,MA,Massachusetts,6893574,0
2020-12-13,MD,Maryland,6055802,0
2020-12-13,ME,Maine,1350141,0
2020-12-13,MI,Michigan,9966555,0
2020-12-13,MN,Minnesota,5657342,0
2020-12-13,MO,Missouri,6151548,0
2020-12-13,MS,Mississippi,2966786,0
2020-12-13,MT,Montana,1080577,0
2020-12-13,NC,"North Carolina",10600823,0
2020-12-13,ND,"North Dakota",765309,0
2020-12-13,NE,Nebraska,1937552,0
2020-12-13,NH,"New Hampshire",1366275,0
2020-12-13,NJ,"New Jersey",8882371,0
2020-12-13,NM,"New Mexico",2106319,0
2020-12-13,NV,Nevada,3138259,0
2020-12-13,NY,"New York",19336776,0
2020-12-13,OH,Ohio,11693217,0
2020-12-13,OK,Oklahoma,3980783,0
2020-12-13,OR,Oregon,4241507,0
2020-12-13,PA,Pennsylvania,12783254,0
2020-12-13,RI,"Rhode Island",1057125,0
2020-12-13,SC,"South Carolina",5218040,0
2020-12-13,SD,"South Dakota",878647,0
2020-12-13,TN,Tennessee,6886834,0
2020-12-13,TX,Texas,29360759,0
2020-12-13,UT,Utah,3249879,0
2020-12-13,VA,Virginia,8590563,0
2020-12-13,VT,Vermont,623347,0
2020-12-13,WA,Washington,7693612,0
2020-12-13,WI,Wisconsin,5832655,0
2020-12-13,WV,"West Virginia",1784787,0
2020-12-13,WY,Wyoming,582328,0
2020-12-14,AK,Alaska,710188,0
2020-12-14,AL,Alabama,4921532,0
2020-12-14,AR,Arkansas,3030522,0
2020-12-14,AZ,Arizona,7421401,0
2020-12-14,CA,California,39368078,0
2020-12-14,CO,Colorado,5807719,0
2020-12-14,CT,Connecticut,3557006,0
2020-12-14,DC,"District of Columbia",1425632,0
2020-12-14,DE,Delaware,986809,0
2020-12-14,FL,Florida,21733312,0
2020-12-14,GA,Georgia,10710017,0
2020-12-14,HI,Hawaii,1407006,0
2020-12-14,IA,Iowa,3163561,0
2020-12-14,ID,Idaho,1826913,0
2020-12-14,IL,Illinois,12587530,0
2020-12-14,IN,Indiana,6754953,0
2020-12-14,KS,Kansas,2913805,0
2020-12-14,KY,Kentucky,4477251,0
2020-12-14,LA,Louisiana,4630297,0
2020-12-14,MA,Massachusetts,6893574,0
2020-12-14,MD,Maryland,6055802,0
2020-12-14,ME,Maine,1350141,0
2020-12-14,MI,Michigan,9966555,0
2020-12-14,MN,Minnesota,5657342,0
2020-12-14,MO,Missouri,6151548,0
2020-12-14,MS,Mississippi,2966786,0
2020-12-14,MT,Montana,1080577,0
2020-12-14,NC,"North Carolina",10600823,0
2020-12-14,ND,"North Dakota",765309,0
2020-12-14,NE,Nebraska,1937552,0
2020-12-14,NH,"New Hampshire",1366275,0
2020-12-14,NJ,"New Jersey",8882371,0
2020-12-14,NM,"New Mexico",2106319,0
2020-12-14,NV,Nevada,3138259,0
2020-12-14,NY,"New York",19336776,0
2020-12-14,OH,Ohio,11693217,0
2020-12-14,OK,Oklahoma,3980783,0
2020-12-14,OR,Oregon,4241507,0
2020-12-14,PA,Pennsylvania,12783254,0
2020-12-14,RI,"Rhode Island",1057125,0
2020-12-14,SC,"South Carolina",5218040,0
2020-12-14,SD,"South Dakota",878647,0
2020-12-14,TN,Tennessee,6886834,0
2020-12-14,TX,Texas,29360759,0
2020-12-14,UT,Utah,3249879,0
2020-12-14,VA,Virginia,8590563,0
2020-12-14,VT,Vermont,623347,0
2020-12-14,WA,Washington,7693612,0
2020-12-14,WI,Wisconsin,5832655,0
2020-12-14,WV,"West Virginia",1784787,0
2020-12-14,WY,Wyoming,582328,0
2020-12-15,AK,Alaska,710188,0
2020-12-15,AL,Alabama,4921532,0
2020-12-15,AR,Arkansas,3030522,0
2020-12-15,AZ,Arizona,7421401,0
2020-12-15,CA,California,39368078,0
2020-12-15,CO,Colorado,5807719,0
2020-12-15,CT,Connecticut,3557006,0
2020-12-15,DC,"District of Columbia",1425632,0
2020-12-15,DE,Delaware,986809,0
2020-12-15,FL,Florida,21733312,0
2020-12-15,GA,Georgia,10710017,0
2020-12-15,HI,Hawaii,1407006,0
2020-12-15,IA,Iowa,3163561,0
2020-12-15,ID,Idaho,1826913,0
2020-12-15,IL,Illinois,12587530,0
2020-12-15,IN,Indiana,6754953,0
2020-12-15,KS,Kansas,2913805,0
2020-12-15,KY,Kentucky,4477251,0
2020-12-15,LA,Louisiana,4630297,0
2020-12-15,MA,Massachusetts,6893574,0
2020-12-15,MD,Maryland,6055802,0
2020-12-15,ME,Maine,1350141,0
2020-12-15,MI,Michigan,9966555,0
2020-12-15,MN,Minnesota,5657342,0
2020-12-15,MO,Missouri,6151548,0
2020-12-15,MS,Mississippi,2966786,0
2020-12-15,MT,Montana,1080577,0
2020-12-15,NC,"North Carolina",10600823,0
2020-12-15,ND,"North Dakota",765309,0
2020-12-15,NE,Nebraska,1937552,0
2020-12-15,NH,"New Hampshire",1366275,0
2020-12-15,NJ,"New Jersey",8882371,0
2020-12-15,NM,"New Mexico",2106319,0
2020-12-15,NV,Nevada,3138259,0
2020-12-15,NY,"New York",19336776,0
2020-12-15,OH,Ohio,11693217,0
2020-12-15,OK,Oklahoma,3980783,0
2020-12-15,OR,Oregon,4241507,0
2020-12-15,PA,Pennsylvania,12783254,0
2020-12-15,RI,"Rhode Island",1057125,0
2020-12-15,SC,"South Carolina",5218040,0
2020-12-15,SD,"South Dakota",878647,0
2020-12-15,TN,Tennessee,6886834,0
2020-12-15,TX,Texas,29360759,0
2020-12-15,UT,Utah,3249879,0
2020-12-15,VA,Virginia,8590563,0
2020-12-15,VT,Vermont,623347,0
2020-12-15,WA,Washington,7693612,0
2020-12-15,WI,Wisconsin,5832655,0
2020-12-15,WV,"West Virginia",1784787,0
2020-12-15,WY,Wyoming,582328,0
2020-12-16,AK,Alaska,710188,0
2020-12-16,AL,Alabama,4921532,0
2020-12-16,AR,Arkansas,3030522,0
2020-12-16,AZ,Arizona,7421401,0
2020-12-16,CA,California,39368078,0
2020-12-16,CO,Colorado,5807719,0
2020-12-16,CT,Connecticut,3557006,0
2020-12-16,DC,"District of Columbia",1425632,0
2020-12-16,DE,Delaware,986809,0
2020-12-16,FL,Florida,21733312,0
2020-12-16,GA,Georgia,10710017,0
2020-12-16,HI,Hawaii,1407006,0
2020-12-16,IA,Iowa,3163561,0
2020-12-16,ID,Idaho,1826913,0
2020-12-16,IL,Illinois,12587530,0
2020-12-16,IN,Indiana,6754953,0
2020-12-16,KS,Kansas,2913805,0
2020-12-16,KY,Kentucky,4477251,0
2020-12-16,LA,Louisiana,4630297,0
2020-12-16,MA,Massachusetts,6893574,0
2020-12-16,MD,Maryland,6055802,0
2020-12-16,ME,Maine,1350141,0
2020-12-16,MI,Michigan,9966555,0
2020-12-16,MN,Minnesota,5657342,0
2020-12-16,MO,Missouri,6151548,0
2020-12-16,MS,Mississippi,2966786,0
2020-12-16,MT,Montana,1080577,0
2020-12-16,NC,"North Carolina",10600823,0
2020-12-16,ND,"North Dakota",765309,0
2020-12-16,NE,Nebraska,1937552,0
2020-12-16,NH,"New Hampshire",1366275,0
2020-12-16,NJ,"New Jersey",8882371,0
2020-12-16,NM,"New Mexico",2106319,0
2020-12-16,NV,Nevada,3138259,0
2020-12-16,NY,"New York",19336776,0
2020-12-16,OH,Ohio,11693217,0
2020-12-16,OK,Oklahoma,3980783,0
2020-12-16,OR,Oregon,4241507,0
2020-12-16,PA,Pennsylvania,12783254,0
2020-12-16,RI,"Rhode Island",1057125,0
2020-12-16,SC,"South Carolina",5218040,0
2020-12-16,SD,"South Dakota",878647,0
2020-12-16,TN,Tennessee,6886834,0
2020-12-16,TX,Texas,29360759,0
2020-12-16,UT,Utah,3249879,0
2020-12-16,VA,Virginia,8590563,0
2020-12-16,VT,Vermont,623347,0
2020-12-16,WA,Washington,7693612,0
2020-12-16,WI,Wisconsin,5832655,0
2020-12-16,WV,"West Virginia",1784787,0
2020-12-16,WY,Wyoming,582328,0
2020-12-17,AK,Alaska,710188,0
2020-12-17,AL,Alabama,4921532,0
2020-12-17,AR,Arkansas,3030522,0
2020-12-17,AZ,Arizona,7421401,0
2020-12-17,CA,California,39368078,0
2020-12-17,CO,Colorado,5807719,0
2020-12-17,CT,Connecticut,3557006,0
2020-12-17,DC,"District of Columbia",1425632,0
2020-12-17,DE,Delaware,986809,0
2020-12-17,FL,Florida,21733312,0
2020-12-17,GA,Georgia,10710017,0
2020-12-17,HI,Hawaii,1407006,0
2020-12-17,IA,Iowa,3163561,0
2020-12-17,ID,Idaho,1826913,0
2020-12-17,IL,Illinois,12587530,0
2020-12-17,IN,Indiana,6754953,0
2020-12-17,KS,Kansas,2913805,0
2020-12-17,KY,Kentucky,4477251,0
2020-12-17,LA,Louisiana,4630297,0
2020-12-17,MA,Massachusetts,6893574,0
2020-12-17,MD,Maryland,6055802,0
2020-12-17,ME,Maine,1350141,0
2020-12-17,MI,Michigan,9966555,0
2020-12-17,MN,Minnesota,5657342,0
2020-12-17,MO,Missouri,6151548,0
2020-12-17,MS,Mississippi,2966786,0
2020-12-17,MT,Montana,1080577,0
2020-12-17,NC,"North Carolina",10600823,0
2020-12-17,ND,"North Dakota",765309,0
2020-12-17,NE,Nebraska,1937552,0
2020-12-17,NH,"New Hampshire",1366275,0
2020-12-17,NJ,"New Jersey",8882371,0
2020-12-17,NM,"New Mexico",2106319,0
2020-12-17,NV,Nevada,3138259,0
2020-12-17,NY,"New York",19336776,0
2020-12-17,OH,Ohio,11693217,0
2020-12-17,OK,Oklahoma,3980783,0
2020-12-17,OR,Oregon,4241507,0
2020-12-17,PA,Pennsylvania,12783254,0
2020-12-17,RI,"Rhode Island",1057125,0
2020-12-17,SC,"South Carolina",5218040,0
2020-12-17,SD,"South Dakota",878647,0
2020-12-17,TN,Tennessee,6886834,0
2020-12-17,TX,Texas,29360759,0
2020-12-17,UT,Utah,3249879,0
2020-12-17,VA,Virginia,8590563,0
2020-12-17,VT,Vermont,623347,0
2020-12-17,WA,Washington,7693612,0
2020-12-17,WI,Wisconsin,5832655,0
2020-12-17,WV,"West Virginia",1784787,0
2020-12-17,WY,Wyoming,582328,0
2020-12-18,AK,Alaska,710188,0
2020-12-18,AL,Alabama,4921532,0
2020-12-18,AR,Arkansas,3030522,0
2020-12-18,AZ,Arizona,7421401,0
2020-12-18,CA,California,39368078,0
2020-12-18,CO,Colorado,5807719,0
2020-12-18,CT,Connecticut,3557006,0
2020-12-18,DC,"District of Columbia",1425632,0
2020-12-18,DE,Delaware,986809,0
2020-12-18,FL,Florida,21733312,0
2020-12-18,GA,Georgia,10710017,0
2020-12-18,HI,Hawaii,1407006,0
2020-12-18,IA,Iowa,3163561,0
2020-12-18,ID,Idaho,1826913,0
2020-12-18,IL,Illinois,12587530,0
2020-12-18,IN,Indiana,6754953,0
2020-12-18,KS,Kansas,2913805,0
2020-12-18,KY,Kentucky,4477251,0
2020-12-18,LA,Louisiana,4630297,0
2020-12-18,MA,Massachusetts,6893574,0
2020-12-18,MD,Maryland,6055802,0
2020-12-18,ME,Maine,1350141,0
2020-12-18,MI,Michigan,9966555,0
2020-12-18,MN,Minnesota,5657342,0
2020-12-18,MO,Missouri,6151548,0
2020-12-18,MS,Mississippi,2966786,0
2020-12-18,MT,Montana,1080577,0
2020-12-18,NC,"North Carolina",10600823,0
2020-12-18,ND,"North Dakota",765309,0
2020-12-18,NE,Nebraska,1937552,0
2020-12-18,NH,"New Hampshire",1366275,0
2020-12-18,NJ,"New Jersey",8882371,0
2020-12-18,NM,"New Mexico",2106319,0
2020-12-18,NV,Nevada,3138259,0
2020-12-18,NY,"New York",19336776,0
2020-12-18,OH,Ohio,11693217,0
2020-12-18,OK,Oklahoma,3980783,0
2020-12-18,OR,Oregon,4241507,0
2020-12-18,PA,Pennsylvania,12783254,0
2020-12-18,RI,"Rhode Island",1057125,0
2020-12-18,SC,"South Carolina",5218040,0
2020-12-18,SD,"South Dakota",878647,0
2020-12-18,TN,Tennessee,6886834,0
2020-12-18,TX,Texas,29360759,0
2020-12-18,UT,Utah,3249879,0
2020-12-18,VA,Virginia,8590563,0
2020-12-18,VT,Vermont,623347,0
2020-12-18,WA,Washington,7693612,0
2020-12-18,WI,Wisconsin,5832655,0
2020-12-18,WV,"West Virginia",1784787,0
2020-12-18,WY,Wyoming,582328,0
2020-12-19,AK,Alaska,710188,0
2020-12-19,AL,Alabama,4921532,0
2020-12-19,AR,Arkansas,3030522,0
2020-12-19,AZ,Arizona,7421401,0
2020-12-19,CA,California,39368078,0
2020-12-19,CO,Colorado,5807719,0
2020-12-19,CT,Connecticut,3557006,0
2020-12-19,DC,"District of Columbia",1425632,0
2020-12-19,DE,Delaware,986809,0
2020-12-19,FL,Florida,21733312,0
2020-12-19,GA,Georgia,10710017,0
2020-12-19,HI,Hawaii,1407006,0
2020-12-19,IA,Iowa,3163561,0
2020-12-19,ID,Idaho,1826913,0
2020-12-19,IL,Illinois,12587530,0
2020-12-19,IN,Indiana,6754953,0
2020-12-19,KS,Kansas,2913805,0
2020-12-19,KY,Kentucky,4477251,0
2020-12-19,LA,Louisiana,4630297,0
2020-12-19,MA,Massachusetts,6893574,0
2020-12-19,MD,Maryland,6055802,0
2020-12-19,ME,Maine,1350141,0
2020-12-19,MI,Michigan,9966555,0
2020-12-19,MN,Minnesota,5657342,0
2020-12-19,MO,Missouri,6151548,0
2020-12-19,MS,Mississippi,2966786,0
2020-12-19,MT,Montana,1080577,0
2020-12-19,NC,"North Carolina",10600823,0
2020-12-19,ND,"North Dakota",765309,0
2020-12-19,NE,Nebraska,1937552,0
2020-12-19,NH,"New Hampshire",1366275,0
2020-12-19,NJ,"New Jersey",8882371,0
2020-12-19,NM,"New Mexico",2106319,0
2020-12-19,NV,Nevada,3138259,0
2020-12-19,NY,"New York",19336776,0
2020-12-19,OH,Ohio,11693217,0
2020-12-19,OK,Oklahoma,3980783,0
2020-12-19,OR,Oregon,4241507,0
2020-12-19,PA,Pennsylvania,12783254,0
2020-12-19,RI,"Rhode Island",1057125,0
2020-12-19,SC,"South Carolina",5218040,0
2020-12-19,SD,"South Dakota",878647,0
2020-12-19,TN,Tennessee,6886834,0
2020-12-19,TX,Texas,29360759,0
2020-12-19,UT,Utah,3249879,0
2020-12-19,VA,Virginia,8590563,0
2020-12-19,VT,Vermont,623347,0
2020-12-19,WA,Washington,7693612,0
2020-12-19,WI,Wisconsin,5832655,0
2020-12-19,WV,"West Virginia",1784787,0
2020-12-19,WY,Wyoming,582328,0
2020-12-20,AK,Alaska,710188,0
2020-12-20,AL,Alabama,4921532,0
2020-12-20,AR,Arkansas,3030522,0
2020-12-20,AZ,Arizona,7421401,0
2020-12-20,CA,California,39368078,0
2020-12-20,CO,Colorado,5807719,0
2020-12-20,CT,Connecticut,3557006,0
2020-12-20,DC,"District of Columbia",1425632,0
2020-12-20,DE,Delaware,986809,0
2020-12-20,FL,Florida,21733312,0
2020-12-20,GA,Georgia,10710017,0
2020-12-20,HI,Hawaii,1407006,0
2020-12-20,IA,Iowa,3163561,0
2020-12-20,ID,Idaho,1826913,0
2020-12-20,IL,Illinois,12587530,0
2020-12-20,IN,Indiana,6754953,0
2020-12-20,KS,Kansas,2913805,0
2020-12-20,KY,Kentucky,4477251,0
2020-12-20,LA,Louisiana,4630297,0
2020-12-20,MA,Massachusetts,6893574,0
2020-12-20,MD,Maryland,6055802,0
2020-12-20,ME,Maine,1350141,0
2020-12-20,MI,Michigan,9966555,0
2020-12-20,MN,Minnesota,5657342,0
2020-12-20,MO,Missouri,6151548,0
2020-12-20,MS,Mississippi,2966786,0
2020-12-20,MT,Montana,1080577,0
2020-12-20,NC,"North Carolina",10600823,0
2020-12-20,ND,"North Dakota",765309,0
2020-12-20,NE,Nebraska,1937552,0
2020-12-20,NH,"New Hampshire",1366275,0
2020-12-20,NJ,"New Jersey",8882371,0
2020-12-20,NM,"New Mexico",2106319,0
2020-12-20,NV,Nevada,3138259,0
2020-12-20,NY,"New York",19336776,0
2020-12-20,OH,Ohio,11693217,0
2020-12-20,OK,Oklahoma,3980783,0
2020-12-20,OR,Oregon,4241507,0
2020-12-20,PA,Pennsylvania,12783254,0
2020-12-20,RI,"Rhode Island",1057125,0
2020-12-20,SC,"South Carolina",5218040,0
2020-12-20,SD,"South Dakota",878647,0
2020-12-20,TN,Tennessee,6886834,0
2020-12-20,TX,Texas,29360759,0
2020-12-20,UT,Utah,3249879,0
2020-12-20,VA,Virginia,8590563,0
2020-12-20,VT,Vermont,623347,0
2020-12-20,WA,Washington,7693612,0
2020-12-20,WI,Wisconsin,5832655,0
2020-12-20,WV,"West Virginia",1784787,0
2020-12-20,WY,Wyoming,582328,0
2020-12-21,AK,Alaska,710188,0
2020-12-21,AL,Alabama,4921532,0
2020-12-21,AR,Arkansas,3030522,0
2020-12-21,AZ,Arizona,7421401,0
2020-12-21,CA,California,39368078,0
2020-12-21,CO,Colorado,5807719,0
2020-12-21,CT,Connecticut,3557006,0
2020-12-21,DC,"District of Columbia",1425632,0
2020-12-21,DE,Delaware,986809,0
2020-12-21,FL,Florida,21733312,0
2020-12-21,GA,Georgia,10710017,0
2020-12-21,HI,Hawaii,1407006,0
2020-12-21,IA,Iowa,3163561,0
2020-12-21,ID,Idaho,1826913,0
2020-12-21,IL,Illinois,12587530,0
2020-12-21,IN,Indiana,6754953,0
2020-12-21,KS,Kansas,2913805,0
2020-12-21,KY,Kentucky,4477251,0
2020-12-21,LA,Louisiana,4630297,0
2020-12-21,MA,Massachusetts,6893574,0
2020-12-21,MD,Maryland,6055802,0
2020-12-21,ME,Maine,1350141,0
2020-12-21,MI,Michigan,9966555,0
2020-12-21,MN,Minnesota,5657342,0
2020-12-21,MO,Missouri,6151548,0
2020-12-21,MS,Mississippi,2966786,0
2020-12-21,MT,Montana,1080577,0
2020-12-21,NC,"North Carolina",10600823,0
2020-12-21,ND,"North Dakota",765309,0
2020-12-21,NE,Nebraska,1937552,0
2020-12-21,NH,"New Hampshire",1366275,0
2020-12-21,NJ,"New Jersey",8882371,0
2020-12-21,NM,"New Mexico",2106319,0
2020-12-21,NV,Nevada,3138259,0
2020-12-21,NY,"New York",19336776,0
2020-12-21,OH,Ohio,11693217,0
2020-12-21,OK,Oklahoma,3980783,0
2020-12-21,OR,Oregon,4241507,0
2020-12-21,PA,Pennsylvania,12783254,0
2020-12-21,RI,"Rhode Island",1057125,0
2020-12-21,SC,"South Carolina",5218040,0
2020-12-21,SD,"South Dakota",878647,0
2020-12-21,TN,Tennessee,6886834,0
2020-12-21,TX,Texas,29360759,0
2020-12-21,UT,Utah,3249879,0
2020-12-21,VA,Virginia,8590563,0
2020-12-21,VT,Vermont,623347,0
2020-12-21,WA,Washington,7693612,0
2020-12-21,WI,Wisconsin,5832655,0
2020-12-21,WV,"West Virginia",1784787,0
2020-12-21,WY,Wyoming,582328,0
2020-12-22,AK,Alaska,710188,0
2020-12-22,AL,Alabama,4921532,0
2020-12-22,AR,Arkansas,3030522,0
2020-12-22,AZ,Arizona,7421401,0
2020-12-22,CA,California,39368078,0
2020-12-22,CO,Colorado,5807719,0
2020-12-22,CT,Connecticut,3557006,0
2020-12-22,DC,"District of Columbia",1425632,0
2020-12-22,DE,Delaware,986809,0
2020-12-22,FL,Florida,21733312,0
2020-12-22,GA,Georgia,10710017,0
2020-12-22,HI,Hawaii,1407006,0
2020-12-22,IA,Iowa,3163561,0
2020-12-22,ID,Idaho,1826913,0
2020-12-22,IL,Illinois,12587530,0
2020-12-22,IN,Indiana,6754953,0
2020-12-22,KS,Kansas,2913805,0
2020-12-22,KY,Kentucky,4477251,0
2020-12-22,LA,Louisiana,4630297,0
2020-12-22,MA,Massachusetts,6893574,0
2020-12-22,MD,Maryland,6055802,0
2020-12-22,ME,Maine,1350141,0
2020-12-22,MI,Michigan,9966555,0
2020-12-22,MN,Minnesota,5657342,0
2020-12-22,MO,Missouri,6151548,0
2020-12-22,MS,Mississippi,2966786,0
2020-12-22,MT,Montana,1080577,0
2020-12-22,NC,"North Carolina",10600823,0
2020-12-22,ND,"North Dakota",765309,0
2020-12-22,NE,Nebraska,1937552,0
