FIPS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
01001,0,0,0,1.34E-05,0,1.69E-05,1.85E-05,4.11E-06,8.40E-06,7.73E-06,2.30E-05,1.14E-05,4.52E-05,4.73E-05,1.35E-05,1.35E-05,4.93E-06,5.28E-06,1.70E-06,6.91E-06,3.88E-05,1.28E-05,,,,
01003,0,0,0,4.15E-06,3.10E-06,4.08E-07,4.51E-06,1.03E-05,7.05E-06,1.24E-05,1.95E-05,4.28E-05,4.57E-05,4.38E-05,7.92E-06,1.90E-06,2.51E-06,1.51E-06,4.61E-06,2.79E-05,6.83E-05,2.38E-05,,,,
01005,0,0,0,1.54E-05,0,0,4.09E-05,2.06E-05,0,1.97E-05,2.31E-05,0.000233155,9.22E-05,0.000123676,3.57E-05,8.35E-06,2.51E-05,8.90E-06,8.84E-06,3.66E-05,5.23E-05,4.23E-05,,,,
01007,0,0,0,0,6.52E-06,0,6.04E-06,3.20E-05,1.51E-05,1.92E-05,1.12E-05,0.000170143,3.31E-05,4.23E-05,0,2.05E-05,4.32E-06,0,5.18E-06,3.35E-05,3.96E-05,1.48E-05,,,,
01009,0,0,0,0,1.58E-06,0,2.88E-06,1.14E-05,5.72E-06,1.34E-05,2.31E-05,3.41E-05,5.49E-05,4.00E-05,4.71E-06,4.51E-06,4.45E-06,0,0,7.15E-06,1.77E-05,2.00E-05,,,,
01011,0,0,0,0,1.57E-05,1.39E-05,5.20E-06,3.78E-06,2.17E-06,3.95E-06,4.61E-06,7.53E-06,1.42E-05,1.44E-05,7.02E-06,0,3.95E-06,0,0,0,4.95E-06,0,,,,
01013,0,0,0,1.68E-05,0.000208002,9.69E-05,9.21E-05,1.10E-05,3.27E-05,9.77E-06,1.08E-05,3.03E-05,0.000162197,6.47E-05,0,2.19E-05,1.43E-05,0,6.94E-06,2.26E-05,0.000114464,4.18E-05,,,,
01015,0,0,0,7.20E-06,0,3.06E-06,5.95E-06,3.76E-05,1.15E-05,2.83E-05,8.21E-05,4.77E-05,0.000106632,7.61E-05,2.14E-05,7.71E-06,1.33E-05,7.54E-06,4.84E-06,2.21E-05,8.38E-05,6.96E-05,,,,
01017,0,0,9.40E-06,6.08E-05,1.01E-05,4.61E-06,2.46E-05,4.15E-06,4.38E-06,1.03E-05,6.64E-06,2.63E-05,2.76E-05,7.30E-05,1.22E-05,8.57E-06,1.78E-06,0,3.72E-06,3.44E-06,1.76E-05,1.01E-05,,,,
01019,0,0,0,0,7.63E-06,9.45E-06,2.36E-06,9.11E-06,2.28E-06,4.28E-06,2.17E-05,0,2.99E-05,6.97E-06,9.10E-06,3.58E-06,0,0,5.66E-06,1.83E-06,1.52E-05,7.02E-06,,,,
01021,0,0,0,4.77E-06,0,6.24E-06,9.51E-06,2.16E-05,5.03E-05,8.15E-06,1.54E-05,5.08E-05,7.72E-05,6.17E-05,2.09E-05,4.49E-06,9.06E-06,2.41E-06,2.48E-06,6.97E-06,5.97E-05,3.75E-05,,,,
01023,0,0,0,0,0.000302973,0.000138298,0,0,0,0,3.11E-05,0.000267921,5.64E-05,0,2.22E-05,0,2.31E-05,0,0,0,4.70E-05,0,,,,
01025,0,0,0,1.44E-05,1.09E-05,3.09E-05,3.96E-05,4.47E-05,1.81E-05,8.56E-06,1.86E-05,5.48E-05,0.000120158,0.000109821,6.74E-05,7.16E-06,7.10E-06,0,1.62E-05,3.69E-05,8.51E-05,2.73E-05,,,,
01027,0,0,0,1.11E-05,8.57E-06,0,2.37E-05,7.53E-06,2.28E-05,2.13E-05,9.48E-05,8.06E-05,0.000122987,3.06E-05,0,1.11E-05,5.74E-06,1.33E-05,0,6.03E-06,3.56E-05,1.06E-05,,,,
01029,0,0,0,1.01E-05,0,0,0,2.66E-05,0,2.50E-05,3.44E-05,1.37E-05,7.94E-05,7.18E-05,1.06E-05,0,5.21E-06,6.01E-06,1.16E-05,5.26E-06,3.68E-05,3.55E-05,,,,
01031,0,0,0,0,2.45E-06,2.24E-06,6.61E-06,4.23E-06,0,9.81E-06,8.99E-06,4.87E-05,7.36E-05,6.56E-05,1.39E-05,8.79E-06,1.03E-05,1.30E-05,7.43E-06,2.36E-05,6.48E-05,2.06E-05,,,,
01033,0,0,0,7.81E-06,0,8.48E-06,1.69E-05,2.93E-05,1.01E-05,1.41E-05,2.68E-05,4.65E-05,0.000110777,3.77E-05,1.57E-05,1.56E-05,5.87E-06,6.52E-06,4.40E-06,2.25E-05,6.71E-05,3.09E-05,,,,
01035,0,0,0,0,2.28E-06,1.01E-05,8.03E-06,1.97E-06,0,3.64E-06,2.08E-06,5.85E-06,1.20E-05,2.02E-06,3.13E-06,3.13E-06,3.10E-06,0,3.19E-06,4.86E-06,2.12E-05,1.36E-05,,,,
01037,0,0,0,4.51E-06,0,0,3.05E-06,3.13E-06,0,0,3.33E-06,9.50E-06,3.94E-05,1.28E-05,2.53E-06,9.84E-06,2.43E-06,0,0,5.16E-06,1.08E-05,1.74E-05,,,,
01039,0,0,0,6.10E-06,0,2.49E-05,5.76E-05,2.02E-05,8.34E-06,7.51E-06,1.74E-05,2.49E-05,0.000193628,8.01E-05,1.62E-05,1.60E-05,9.30E-06,1.63E-05,3.20E-06,7.54E-05,7.12E-05,4.19E-05,,,,
01041,0,0,0,0,1.94E-05,0,5.48E-06,0.000124418,2.73E-05,0,0,3.33E-05,6.86E-05,3.33E-05,1.27E-05,0,0,0,4.21E-06,1.28E-05,4.25E-05,1.59E-05,,,,
01043,0,0,0,0,0,4.01E-06,1.05E-05,3.82E-06,7.71E-06,6.04E-06,2.37E-05,4.79E-05,9.61E-05,4.36E-05,5.17E-06,6.92E-06,4.91E-06,3.29E-06,4.32E-06,1.48E-05,4.98E-05,2.94E-05,,,,
