fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
1001,0,0,7,36,171,316,478,434,350,361,609,1385,1479,573,325,315,238,115,280,1221,986,508,274,492,3724,413
1003,0,0,19,153,117,390,2421,1444,1095,1300,1950,4711,4382,1506,780,425,679,407,3180,7883,3357,967,690,1807,12738,1554
1005,0,0,0,39,128,158,273,159,139,165,118,336,437,166,113,73,30,16,160,554,430,111,98,161,1403,128
1007,0,0,3,41,34,95,193,191,111,201,311,589,469,144,98,57,73,29,204,582,652,148,67,188,1574,176
1009,0,0,5,32,25,146,559,520,342,445,923,1644,1072,388,348,155,251,123,365,1243,1176,588,377,527,2800,437
1011,0,0,3,11,196,150,73,115,59,43,49,158,232,90,38,22,8,17,16,116,119,18,12,151,558,30
1013,0,0,1,55,358,196,148,115,55,107,156,340,304,149,140,56,69,43,139,413,389,145,89,176,1171,190
1015,0,0,9,85,67,116,1174,1117,951,1292,1569,3064,2517,1264,952,219,188,154,606,2476,3715,775,294,813,6635,1013
1017,0,0,36,246,64,226,269,174,147,210,390,562,862,208,77,55,124,70,200,796,735,320,41,386,2010,161
1019,0,0,2,14,22,37,164,167,195,163,251,346,270,66,38,30,35,13,114,456,488,136,115,202,1437,159
1021,0,0,11,42,49,113,485,495,394,329,325,683,574,326,166,190,206,53,282,878,804,349,248,382,2553,320
1023,0,0,3,40,110,39,84,51,30,43,32,63,46,13,34,19,14,12,20,39,81,139,29,94,752,129
1025,0,0,0,33,113,117,227,485,106,285,206,792,798,209,50,51,20,17,174,479,471,132,77,97,1812,176
1027,0,0,2,19,6,26,145,178,220,180,149,221,180,115,39,54,49,27,55,347,309,157,46,147,1244,119
1029,0,0,5,7,3,15,82,95,186,175,196,248,256,98,76,31,22,38,69,267,522,95,52,105,733,115
1031,0,0,0,104,125,121,357,362,293,463,618,1111,1275,331,149,97,95,70,669,1657,1031,247,119,360,3025,357
1033,0,0,4,25,155,188,686,408,218,467,1145,1364,1029,270,184,111,69,85,261,996,921,518,217,481,5411,599
1035,0,0,0,11,32,139,189,114,54,40,111,151,170,60,20,16,21,24,64,346,277,63,40,52,774,50
1037,0,0,4,27,12,15,43,41,39,48,132,163,161,210,56,127,34,25,58,233,315,87,55,93,813,96
1039,0,0,2,32,44,220,459,301,323,470,318,712,668,383,87,66,114,79,442,952,828,227,195,200,1771,197
1041,0,0,1,18,58,51,161,186,71,78,100,234,349,131,61,25,30,48,93,404,324,105,96,130,884,107
1043,0,0,8,59,88,265,723,501,278,818,1734,2564,1472,341,489,222,243,165,495,1948,2397,855,364,910,6036,909
1045,0,0,0,27,88,129,522,337,315,488,413,963,965,350,128,51,101,46,659,1890,1198,251,81,369,2435,435
1047,0,0,2,39,234,542,518,283,188,107,362,506,449,183,122,49,67,26,120,548,449,468,90,266,2252,332
1049,0,0,4,73,173,335,1078,479,309,1166,1234,1978,1193,313,267,108,95,132,470,1415,1381,434,266,553,4081,633
1051,0,0,13,74,268,459,760,591,544,570,820,2306,2070,766,579,106,241,92,575,1988,1676,868,457,836,5322,573
1053,0,0,1,29,37,195,674,393,197,149,223,672,862,253,87,65,44,68,357,1327,904,231,103,309,2333,265
1055,0,0,8,126,119,358,1293,898,750,937,1927,3470,2484,661,471,128,211,261,636,2215,2353,374,138,661,6436,991
1057,0,0,1,6,11,53,102,144,152,134,317,505,418,124,62,54,31,56,67,226,327,190,294,117,963,130
1059,0,0,3,56,498,295,327,391,229,326,424,706,572,149,194,46,43,48,240,663,610,255,248,223,2583,483
1061,0,0,0,9,35,21,157,218,204,321,272,434,581,139,53,32,91,34,235,803,798,113,54,117,1082,206
1063,0,0,3,52,42,70,78,45,21,47,78,244,129,77,31,19,7,9,54,148,85,53,26,65,364,43
1065,0,0,1,45,126,117,164,105,95,140,185,467,518,144,65,54,39,24,78,341,246,200,50,126,1074,107
1067,0,0,0,24,56,53,115,131,138,230,131,372,428,152,45,26,51,21,175,516,405,100,58,117,899,144
1069,0,0,9,85,122,222,839,783,872,1346,1077,1858,2192,615,259,153,228,109,1181,2684,2280,513,239,733,5210,818
1071,0,0,8,40,31,139,545,559,293,710,936,1799,1148,252,235,95,77,175,344,852,1243,583,141,467,3351,698
1073,0,0,282,604,951,2335,7124,5044,3583,3805,8779,18584,14051,3932,3593,1380,4020,1021,3853,15187,11405,3226,659,10240,48431,4611
1075,0,0,1,12,16,46,124,95,91,150,161,367,194,81,59,26,42,27,33,201,307,307,195,94,799,108
1077,0,0,13,27,126,248,609,416,322,706,1758,2264,1702,423,532,236,136,134,595,1742,1719,949,336,872,6655,902
