fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,0,0,5,2,8,9,1,4,5,12,7,21,23,8,8,3,3,1,4,22,8,9,3,6,7
1003,0,0,0,4,6,1,12,20,10,19,27,63,64,66,17,5,6,4,14,56,124,46,34,4,19,14
1005,0,0,0,1,0,0,4,2,0,2,2,21,8,10,4,1,4,0,1,4,6,5,4,1,3,3
1007,0,0,0,0,1,0,1,6,3,5,3,30,7,8,0,5,1,0,1,8,10,4,7,1,1,1
1009,0,0,0,0,1,0,2,8,4,10,15,23,37,22,4,6,4,0,0,6,16,18,14,6,9,5
1011,0,0,0,0,5,6,2,2,1,3,2,3,7,2,4,0,2,0,0,0,3,1,1,1,1,2
1013,0,0,0,1,17,9,9,0,3,0,1,3,15,6,0,3,1,0,1,3,15,7,4,1,6,3
1015,0,0,0,3,0,2,4,27,9,21,56,35,76,54,18,8,11,6,4,20,74,67,15,14,22,12
1017,0,0,4,18,5,3,11,2,2,5,3,13,13,29,8,6,1,2,2,2,10,5,2,5,1,1
1019,0,0,0,0,3,4,1,4,4,2,9,0,14,3,5,2,0,0,3,1,8,4,2,2,4,3
1021,0,0,0,1,0,2,3,7,18,3,6,17,25,21,8,2,4,1,1,3,26,18,6,3,10,2
1023,0,0,0,0,8,4,0,0,0,0,1,9,2,0,1,0,1,0,0,0,2,0,1,2,3,0
1025,0,0,0,1,1,4,4,6,3,1,2,6,14,12,8,0,1,0,2,5,12,3,2,2,1,4
1027,0,0,0,1,1,0,3,0,3,3,12,10,16,4,0,2,1,2,0,1,6,2,2,0,3,1
1029,0,0,0,1,0,0,0,4,1,4,5,2,8,10,2,0,1,2,2,1,7,5,0,0,3,2
1031,0,0,0,1,1,1,3,3,1,7,4,23,35,28,8,6,7,5,4,13,36,12,3,2,8,10
1033,0,0,0,2,0,3,6,11,4,6,10,18,45,12,7,7,3,3,2,11,33,16,7,6,5,4
1035,0,0,0,0,1,5,6,1,0,2,1,3,6,1,2,1,2,0,2,3,13,9,5,0,1,0
1037,0,0,0,1,0,0,1,1,0,0,1,3,12,4,1,4,1,0,0,2,4,7,5,1,3,2
1039,0,0,0,2,0,7,14,6,2,2,4,6,47,19,3,5,2,5,1,23,22,15,9,5,5,7
1041,0,0,0,0,4,0,1,23,8,0,0,6,13,6,2,0,0,0,1,3,10,2,4,2,3,2
1043,0,0,0,1,0,3,8,4,7,6,17,36,71,32,5,7,5,3,4,14,47,30,7,7,14,8
1045,0,0,0,0,0,0,18,21,6,8,4,9,35,9,2,3,3,1,0,18,40,12,5,2,10,6
1047,0,0,0,3,0,5,15,2,1,1,5,11,69,29,8,2,4,5,4,5,22,17,2,3,8,6
1049,0,0,0,2,0,2,7,5,5,10,7,25,77,38,4,6,3,2,2,18,35,20,4,9,12,9
1051,0,0,0,2,6,7,22,9,4,11,5,19,52,52,16,5,3,4,5,15,35,20,6,3,11,7
1053,0,0,0,1,1,3,13,7,3,7,0,3,14,24,2,1,2,3,3,8,33,11,9,5,4,1
1055,0,0,0,10,2,2,6,21,7,9,12,29,152,73,24,10,7,7,5,19,79,34,10,9,17,15
1057,0,0,0,0,0,1,4,1,6,4,2,3,20,19,3,3,0,1,2,1,7,9,3,1,0,1
1059,0,0,0,1,7,6,7,7,3,2,3,3,23,17,5,1,0,1,0,8,13,3,3,3,6,6
1061,0,0,0,0,0,0,1,3,2,2,1,12,32,18,4,0,6,1,2,8,30,8,8,1,5,4
1063,0,0,0,1,3,3,4,3,0,2,1,2,7,4,2,0,0,0,3,2,4,1,1,0,2,1
1065,0,0,0,3,7,11,6,3,0,2,1,2,21,14,5,2,3,0,1,3,5,2,2,2,4,1
1067,0,0,0,1,1,2,0,0,1,1,0,2,24,9,1,2,0,1,1,1,13,7,0,0,1,1
1069,0,0,0,5,1,2,8,5,4,14,3,27,145,52,11,9,5,5,4,24,70,25,14,7,16,9
1071,0,0,1,1,0,1,2,4,3,7,5,11,36,29,4,4,2,2,3,7,38,24,5,7,9,4
1073,0,0,0,46,56,41,83,78,51,34,116,198,432,248,87,51,23,32,22,63,145,154,43,24,56,42
1075,0,0,0,0,0,2,1,0,0,4,1,7,13,5,0,1,3,1,0,0,7,4,4,6,1,2
1077,0,0,1,3,0,3,5,14,10,9,11,16,86,55,8,18,8,6,3,4,25,13,10,12,18,12
1079,0,0,0,0,0,0,0,5,20,8,3,6,28,15,7,3,3,0,1,0,8,10,11,7,7,2
1081,0,0,2,28,4,4,6,11,10,5,2,10,53,25,13,3,5,4,5,12,31,21,14,7,16,5
1083,0,0,0,0,0,0,12,4,4,14,11,13,49,28,11,5,6,2,0,14,21,12,14,10,12,8
1085,0,0,0,1,11,8,6,0,1,2,0,3,8,10,2,0,1,1,1,0,5,4,1,0,0,1
1087,0,0,0,2,2,3,5,7,1,2,2,8,8,6,4,2,1,2,0,2,4,5,1,5,1,2
1089,0,0,1,3,0,3,23,27,25,23,48,34,113,170,35,18,17,14,7,20,90,62,18,33,43,28
1091,0,0,0,3,3,5,3,4,2,4,1,2,8,21,5,4,1,0,1,3,15,5,4,0,1,3
1093,0,0,0,6,5,1,12,4,1,2,6,7,31,21,4,2,2,3,1,3,13,4,4,2,6,1
1095,0,0,0,8,3,0,21,13,4,8,4,32,66,57,10,4,6,4,4,14,32,26,12,4,22,4
1097,0,0,1,56,61,23,55,69,34,25,42,144,105,114,67,12,11,24,25,167,227,92,31,13,65,49
1099,0,0,0,2,1,0,2,3,2,2,1,1,11,16,0,1,1,0,0,2,14,8,1,0,3,2
1101,0,0,1,7,34,57,47,18,24,25,26,40,94,131,53,33,17,15,13,12,45,65,27,15,16,19
1103,0,0,0,0,1,2,12,9,5,8,14,37,88,76,12,15,5,4,4,8,43,41,24,19,23,10
1105,0,0,0,0,0,0,3,2,1,0,0,4,11,3,0,0,0,1,1,0,9,2,0,1,0,1
1107,0,0,0,1,3,2,4,1,4,3,1,8,7,21,2,2,3,0,0,1,13,8,4,3,2,2
1109,0,0,0,0,0,5,2,1,3,3,0,9,18,30,2,2,0,1,1,5,15,8,1,2,7,1
1111,0,0,0,5,3,2,2,0,1,3,5,9,7,3,1,0,2,1,0,10,3,7,3,0,2,2
1113,0,0,0,0,0,0,1,1,1,0,0,3,13,12,7,3,2,2,1,8,5,5,3,2,2,6
1115,0,0,0,0,1,1,7,21,10,6,12,18,82,69,9,5,10,4,4,7,57,28,14,7,11,7
1117,0,0,0,12,8,4,9,16,5,20,7,27,57,56,18,13,5,2,2,19,46,38,8,12,16,7
1119,0,0,0,2,5,6,4,2,0,2,1,2,4,3,1,0,0,0,1,1,2,2,3,1,1,1
1121,0,0,0,2,3,2,6,6,10,8,16,22,44,46,4,9,5,5,3,6,54,38,15,8,12,11
1123,0,0,1,17,47,5,9,4,3,2,4,7,16,27,3,6,5,3,2,7,24,12,0,3,8,4
1125,0,0,0,2,14,23,25,37,20,27,10,64,86,108,23,15,8,7,1,21,68,63,25,14,32,11
1127,0,0,0,0,2,15,47,12,11,9,16,27,62,60,18,3,3,4,6,10,40,33,9,8,7,6
1129,0,0,0,1,5,1,4,4,0,0,7,5,3,8,3,1,0,0,0,4,6,3,0,0,2,0
1131,0,0,0,3,5,1,1,2,0,1,6,1,3,3,1,1,3,1,0,1,5,2,0,0,0,2
1133,0,0,0,0,1,3,7,1,2,1,10,4,15,21,4,1,1,0,1,6,18,6,7,2,4,1
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,0,0,2,2,0,2,5,6,14,15,18,51,21,13,9,10,3,2,7,29,61,58,61,27,39,11
2050,0,0,0,0,0,0,0,1,0,1,4,4,6,1,2,1,1,0,0,0,3,2,0,5,5,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,2,2,1,0
2090,0,0,0,2,0,0,3,3,3,4,2,2,7,0,6,5,6,1,0,6,16,22,19,10,7,0
2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2110,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,3,2,1,3,0
2122,0,0,0,0,1,0,0,0,0,2,5,9,3,1,0,0,0,0,1,7,13,17,8,13,10,2
2130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,2,2,2,2,1
2150,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,1,1,1,0,0
