STATENM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AL,0,0,0.000202986,0.001233153,0.002211506,0.004082672,0.010094011,0.007789241,0.005819936,0.007636646,0.011630322,0.022696591,0.019996416,0.006829784,0.004497786,0.002550425,0.003145972,0.001539764,0.007035208,0.023188308,0.0196577,0.007227831,0.002786734,0.010332758,0.065354243,0.007820329
AK,0,0,0.000187274,0.000309777,0.000163337,0.000934964,0.003580742,0.003383611,0.003707469,0.010616907,0.022754538,0.02018198,0.010202932,0.005436589,0.006636271,0.007309332,0.00285699,0.001475666,0.005891398,0.018289523,0.036600168,0.032582922,0.018345846,0.008625885,0.083798938,0.0185993
AZ,1.35E-07,0,0.000174765,0.000855634,0.001655752,0.008012369,0.012761607,0.003740264,0.002242838,0.003698897,0.0109257,0.026515613,0.03163109,0.007903629,0.003311908,0.002787344,0.00255383,0.001812731,0.004360363,0.011411322,0.011003313,0.010148623,0.013593121,0.015052144,0.065911679,0.009213489
AR,0,0,0.000186107,0.000896545,0.001310665,0.004462598,0.007171702,0.006389328,0.007415554,0.009402011,0.014904693,0.022365454,0.023141228,0.008957863,0.002840435,0.001757783,0.001866345,0.002641129,0.012231226,0.021923286,0.01425035,0.005776893,0.005155217,0.012422942,0.069385076,0.008394263
CA,7.62E-08,6.35E-07,0.000217308,0.001063984,0.001591238,0.00302377,0.006861397,0.005341129,0.002758148,0.002899202,0.00767058,0.027195181,0.025812893,0.006236373,0.002526666,0.001858765,0.0012106,0.000687029,0.005608249,0.01045761,0.007362818,0.00453761,0.004262184,0.01092601,0.073567371,0.00905556
CO,0,0,0.000514832,0.002111845,0.001938455,0.001090618,0.002453631,0.001868031,0.00228885,0.006328474,0.021808562,0.017403907,0.010599514,0.005825523,0.005822079,0.008431882,0.005581537,0.002541617,0.003025628,0.006987941,0.009601704,0.012177242,0.015288963,0.017028028,0.056065729,0.005633709
CT,0,0,0.000879391,0.006908057,0.004140842,0.001220971,0.000926622,0.000900195,0.001313183,0.003842276,0.012956964,0.019243712,0.018081218,0.008412412,0.008698889,0.00796878,0.002279445,0.000567331,0.001400897,0.005267632,0.00485605,0.003440534,0.005372215,0.024879351,0.053194175,0.003456559
DE,0,0,0.000323264,0.004474017,0.004827682,0.002015588,0.003358299,0.002676303,0.003226562,0.004801334,0.010846071,0.022093434,0.020890567,0.00884467,0.008109979,0.009731366,0.004520632,0.000889737,0.00168523,0.008557887,0.013286259,0.011385182,0.009118279,0.027539271,0.06865057,0.004515565
,0,0,0.000694429,0.00537025,0.006282126,0.002140805,0.002523793,0.002617786,0.001871451,0.0027216,0.006012772,0.01042485,0.011067372,0.005227155,0.005492301,0.004466791,0.001684867,0.000613061,0.001491268,0.007060728,0.008027317,0.004330711,0.003748513,0.038402617,0.051348455,0.002441023
FL,0,0,0.000310215,0.001239618,0.001033989,0.004429652,0.014629708,0.007043795,0.003821093,0.004418609,0.009053935,0.014907806,0.018315754,0.008643137,0.006833473,0.008091128,0.004038179,0.000841151,0.012369169,0.030356855,0.016544142,0.004969652,0.001954465,0.022064193,0.06300977,0.008616404
