STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AL,1,0,0,2.84E-06,5.24E-05,7.27E-05,6.50E-05,0.000128009,0.00012232,7.34E-05,8.72E-05,0.000124148,0.000254189,0.000581323,0.000455549,0.000127399,6.97E-05,5.10E-05,4.23E-05,3.74E-05,0.000151985,0.000409629,0.000258862,0.000111551,6.85E-05,0.000128415,8.45E-05
AK,2,0,0,2.82E-06,7.04E-06,1.41E-06,5.63E-06,1.41E-05,1.97E-05,2.53E-05,3.52E-05,5.35E-05,0.00011687,7.74E-05,3.66E-05,2.96E-05,4.37E-05,3.10E-05,1.13E-05,1.69E-05,7.74E-05,0.000185866,0.000208396,0.000209804,0.000137992,0.000145032,3.52E-05
AZ,4,0,0,3.23E-06,4.08E-05,7.90E-05,9.96E-05,0.000276228,0.00018002,8.39E-05,4.38E-05,8.91E-05,0.000301695,0.000571455,0.000385372,0.000132994,4.81E-05,4.10E-05,4.18E-05,4.18E-05,7.28E-05,0.000161425,0.000157652,0.000155362,0.000258981,0.000266257,0.000109952
AR,5,0,0,2.64E-06,1.78E-05,2.38E-05,4.52E-05,6.04E-05,0.000113842,0.000189076,0.000184787,0.000190726,0.000387392,0.000393332,0.000126711,0.000127041,3.73E-05,3.10E-05,2.57E-05,7.79E-05,0.000261671,0.000249792,0.000226034,9.64E-05,0.000158719,0.000160698,1.00E-04
CA,6,0,0,4.67E-06,4.76E-05,5.55E-05,4.68E-05,7.97E-05,9.65E-05,7.31E-05,4.48E-05,3.93E-05,0.000171611,0.00038008,0.000286654,0.000179155,6.34E-05,3.81E-05,2.13E-05,2.19E-05,4.46E-05,8.67E-05,7.27E-05,6.43E-05,5.18E-05,9.04E-05,5.26E-05
CO,8,0,0,1.19E-05,0.000121735,0.000115364,4.24E-05,2.60E-05,1.91E-05,1.88E-05,4.27E-05,0.000129483,0.000313376,0.00014343,5.77E-05,2.24E-05,4.43E-05,5.03E-05,3.86E-05,2.63E-05,3.86E-05,7.09E-05,0.000111059,0.000173562,0.000188887,0.000147907,7.46E-05
CT,9,0,0,1.94E-05,0.000615124,0.000474838,0.000106269,3.09E-05,9.56E-06,1.21E-05,3.04E-05,0.000113579,0.000274669,0.000295473,0.000161934,7.42E-05,6.24E-05,3.96E-05,1.12E-05,4.22E-06,1.83E-05,7.62E-05,3.94E-05,4.02E-05,7.20E-05,0.000238965,5.99E-05
DE,10,0,0,1.01E-05,0.000143898,0.000216861,0.000144912,7.70E-05,2.03E-05,3.14E-05,7.30E-05,6.49E-05,0.000156059,0.000166192,0.000336438,0.000138831,6.69E-05,3.65E-05,3.34E-05,0.000140858,4.76E-05,7.50E-05,0.000138831,8.82E-05,0.000109444,0.000248275,7.09E-05
,11,0,0,1.26E-05,0.000301621,0.000339499,0.000119245,4.77E-05,3.09E-05,2.81E-05,2.67E-05,4.77E-05,0.000148706,0.000178167,0.0001459,6.59E-05,5.75E-05,3.79E-05,1.26E-05,1.12E-05,1.54E-05,1.96E-05,2.24E-05,8.42E-06,2.10E-05,0.000109425,2.24E-05
FL,12,0,0,3.91E-06,5.44E-05,5.44E-05,4.85E-05,0.000153589,0.000199877,0.000144019,0.000112454,8.45E-05,0.000141534,0.000221135,0.000201212,0.00011839,8.00E-05,7.44E-05,5.12E-05,5.53E-05,0.00025224,0.000764127,0.000279203,8.87E-05,5.84E-05,0.000127132,0.000115951
GA,13,0,0,1.18E-05,9.31E-05,8.41E-05,6.93E-05,8.55E-05,0.000171242,0.000126704,8.69E-05,0.000131933,0.000129785,0.000297852,0.000278151,0.000160691,0.000102054,5.99E-05,5.21E-05,2.39E-05,9.61E-05,0.000300466,0.000262745,0.000125957,8.38E-05,0.000132213,8.88E-05
HI,15,0,0,7.11E-07,1.07E-05,7.11E-07,7.11E-07,4.98E-06,3.13E-05,4.69E-05,5.90E-05,1.71E-05,3.13E-05,8.60E-05,2.06E-05,1.71E-05,1.42E-05,1.21E-05,1.21E-05,1.42E-05,3.70E-05,0.000137171,9.52E-05,7.25E-05,5.12E-05,6.47E-05,4.12E-05
ID,16,0,0,4.93E-06,2.96E-05,1.09E-05,5.47E-06,5.53E-05,9.36E-05,5.75E-05,8.81E-05,0.00016859,0.000274233,0.00015819,7.39E-05,5.69E-05,4.60E-05,2.41E-05,3.39E-05,2.46E-05,9.03E-05,0.00029777,0.000345391,0.000214022,0.000127538,0.000142317,6.40E-05
IL,17,0,0,8.50E-06,0.000179066,0.000243495,0.000135849,4.54E-05,4.42E-05,5.38E-05,8.70E-05,0.000260337,0.000394359,0.000259225,0.000118609,6.71E-05,5.66E-05,7.41E-05,3.59E-05,1.93E-05,4.65E-05,9.26E-05,7.59E-05,6.01E-05,0.000130367,0.000292909,8.11E-05
IN,18,0,0,9.03E-06,0.000155886,0.000151,7.49E-05,4.81E-05,4.93E-05,4.97E-05,0.000103628,0.000205923,0.00037602,0.000253296,0.000384755,6.90E-05,4.35E-05,4.28E-05,3.40E-05,2.29E-05,7.19E-05,0.000172762,0.000151889,0.000129387,0.000219098,0.000343304,9.95E-05
IA,19,0,0,2.21E-06,4.90E-05,0.000118537,5.72E-05,4.96E-05,7.84E-05,7.52E-05,0.000113164,0.000224431,0.00046435,0.00031926,0.000179861,8.63E-05,6.57E-05,3.32E-05,2.62E-05,1.42E-05,2.69E-05,9.32E-05,0.000127072,0.000122963,0.000159314,0.000203252,0.000104313
KS,20,0,0,3.43E-06,4.22E-05,2.68E-05,2.23E-05,2.81E-05,3.19E-05,7.79E-05,0.000124923,0.000182579,0.000405312,0.000356235,0.000328093,7.69E-05,0.000389182,3.26E-05,2.64E-05,3.81E-05,0.000101929,0.000168165,0.000126295,9.71E-05,0.00010742,0.000183952,9.58E-05
KY,21,0,0,4.02E-06,4.96E-05,4.49E-05,3.28E-05,3.71E-05,4.74E-05,5.43E-05,7.66E-05,0.000114803,0.000199006,0.000228042,0.000180691,0.000304875,0.000104975,7.10E-05,7.42E-05,2.48E-05,0.000100061,0.000230499,0.000222905,0.000264448,0.000248143,0.000184265,7.53E-05
LA,22,0,0,5.18E-05,0.000359588,0.000191564,9.29E-05,0.000157225,0.000216185,0.000121159,8.81E-05,0.000154418,0.000230655,0.000296093,0.000161761,0.000115111,5.20E-05,4.19E-05,3.50E-05,5.64E-05,0.000293718,0.00034339,0.000129149,5.49E-05,4.04E-05,0.000148587,0.00010021
ME,23,0,0,3.70E-06,3.56E-05,2.67E-05,1.19E-05,1.33E-05,6.67E-06,6.67E-06,4.44E-06,3.48E-05,0.000113321,0.000179981,8.37E-05,2.96E-05,3.04E-05,3.04E-05,2.44E-05,3.18E-05,2.37E-05,6.67E-05,0.000107396,0.000116284,0.000153317,0.000153317,6.22E-05
