STATENM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
AL,-1.39E-10,-0.007002245,0.008772925,0.010193091,0.016740419,0.026975812,0.055276491,0.047109448,0.031443596,0.027724725,0.02047584,0.021683137,0.052497979,0.060065539,0.025395932,0.014426917,0.0121843,0.02228929,0.017044246,0.031928829,0.045835822,0.023646035,0.006482244,-0.014317135,-0.008706507,0.001654129
AK,-1.39E-10,-0.007002245,0.00869059,-0.001077613,-0.000631119,0.002722633,0.006349258,0.008031611,0.011668131,0.012329093,0.009593424,0.011173202,-0.007384494,-0.008526455,-0.010173582,0.012722591,0.011794965,-0.014043992,-0.01215283,0.006811093,0.009013366,0.014555257,0.022144654,0.003839771,-0.006584798,-0.015760944
AZ,-1.39E-10,-0.007002245,0.009897439,0.007870176,0.018135935,0.041549654,0.11776639,0.069461841,0.03614603,0.01484296,0.015088613,0.026523912,0.051479334,0.049637649,0.027006355,0.013019113,0.011999694,0.021843493,0.021344848,0.007576688,0.00674222,0.005354736,0.010196437,0.024639518,0.014290503,0.009559648
AR,-1.39E-10,-0.007002245,0.008180785,0.003248268,0.0056963,0.018935631,0.025751533,0.043792167,0.081901251,0.060483109,0.03263252,0.03559894,0.032953453,0.015064689,0.025292658,0.01229532,0.011795828,0.012410483,0.05624608,0.069534352,0.019634556,0.017739253,-0.008825496,0.005328475,-0.004580257,0.006272596
CA,-1.39E-10,-0.007002245,0.014048951,0.009222728,0.012864122,0.019569334,0.034221421,0.036970178,0.031334118,0.015132334,0.007395522,0.015381456,0.031564771,0.034825494,0.04022175,0.014021694,0.01194268,0.012920323,0.010460056,-0.01214044,-0.013209354,-0.013923944,-0.013746881,-0.016812257,-0.013546121,-0.010819174
CO,-1.39E-10,-0.007002245,0.034920549,0.023992431,0.026273719,0.01777516,0.011372637,0.007809265,0.009004558,0.014524186,0.021292052,0.027764479,0.011641534,-0.010067712,-0.009483098,0.012762729,0.012171723,0.018939934,0.008955491,-0.013109498,-0.014563994,-0.009717132,0.014202252,0.011167038,-0.006217293,-0.004520736
CT,-1.39E-10,-0.007002245,0.056900338,0.121910952,0.10708605,0.044355144,0.01344243,0.004266797,0.006293281,0.010910184,0.018856302,0.023649328,0.02266519,0.0175837,0.014394556,0.013957584,0.011973786,-0.014046078,-0.016347208,-0.016344561,-0.01411478,-0.017562618,-0.017414179,-0.01379328,0.010122515,-0.00872582
DE,-1.39E-10,-0.007002245,0.029759728,0.028452526,0.049593657,0.06043695,0.033025586,0.008236766,0.014120318,0.02333291,0.011350927,0.014188336,0.013101934,0.042316202,0.028684748,0.014246368,0.011910411,0.014276581,0.114890285,-0.011653744,-0.014217423,0.006646098,-0.010084998,-0.008157875,0.011545708,-0.005559698
,-1.39E-10,-0.007002245,0.037115952,0.060530468,0.077265511,0.049777863,0.020465713,0.012152124,0.012764712,0.009821724,0.008692472,0.013623587,0.013868515,0.016439615,0.01362049,0.013639028,0.011938692,-0.013895635,-0.014043435,-0.016794658,-0.018926792,-0.019395718,-0.022227661,-0.021392294,-0.011125672,-0.019378659
FL,-1.39E-10,-0.007002245,0.011851398,0.010586121,0.012623322,0.02029307,0.066295399,0.077062911,0.062493617,0.036288542,0.014381542,0.013072275,0.016609795,0.02187153,0.022798385,0.017338876,0.024597492,0.030327881,0.034537416,0.066343986,0.102092457,0.027293089,-0.010000676,-0.015826482,-0.008870171,0.011533826
GA,-1.39E-10,-0.007002245,0.034578343,0.018307695,0.019293964,0.028774515,0.036765808,0.066086658,0.054954443,0.027643178,0.021666609,0.012168241,0.022916205,0.033541923,0.034951216,0.025776176,0.016794385,0.031169457,0.009787657,0.012343629,0.0279966,0.024342874,0.004253693,-0.012011309,-0.00822204,0.002574937
HI,-1.39E-10,-0.007002245,0.002591035,0.001807155,-0.000631344,-0.000692069,0.002498078,0.012302838,0.020356389,0.01927535,-0.003924812,-0.004543549,0.007938319,-0.007351298,-0.00896926,-0.010710305,-0.011349965,-0.013955005,-0.013049404,-0.013367694,0.008854628,-0.011458631,-0.012488144,-0.016904962,-0.016802592,-0.014049134
ID,-1.39E-10,-0.007002245,0.014775583,0.005608412,0.002792432,0.002657247,0.02362909,0.035838048,0.024589044,0.028050448,0.028342206,0.023602891,0.01258902,0.01124855,0.012773991,0.012877899,-0.011641348,0.014728216,0.009539651,0.010309299,0.027552954,0.039093265,0.02306622,-0.005423528,-0.006931832,-0.007535203
IL,-1.39E-10,-0.007002245,0.025016955,0.035672984,0.055655217,0.056683351,0.019490077,0.017051038,0.023112445,0.027664545,0.046035227,0.036333988,0.019027359,0.014482366,0.013724899,0.013576605,0.02447065,0.016522285,-0.011343761,-0.011839546,-0.012710454,-0.013582676,-0.01438931,-0.004995142,0.018348801,0.002636676
IN,-1.39E-10,-0.007002245,0.026528439,0.030918061,0.034482731,0.031156542,0.020638848,0.018932876,0.021492938,0.033305424,0.035570026,0.034398236,0.018651801,0.04954555,0.013906034,0.012714118,0.01203476,0.014830251,0.010112644,0.00770982,0.006826185,0.005196047,0.004459816,0.016989955,0.02599005,0.006107469
IA,-1.39E-10,-0.007002245,0.006945213,0.009506899,0.026980694,0.023814234,0.021271049,0.029830519,0.032279425,0.036528053,0.039138821,0.043696391,0.025173205,0.018857739,0.015515485,0.014173337,0.011842149,0.012352056,-0.013046105,-0.014979054,-0.012650486,-0.007948625,0.004717455,0.005443979,0.004649847,0.007701196
KS,-1.39E-10,-0.007002245,0.010469216,0.008147861,0.006377847,0.009579164,0.012273269,0.012540708,0.033466729,0.040491235,0.031055055,0.037488878,0.029062525,0.041063597,0.014641831,0.130636018,0.011829732,0.01232977,0.017739416,0.014406129,0.006153161,-0.008034538,-0.008706837,-0.008463203,0.001683541,0.004875064
KY,-1.39E-10,-0.007002245,0.012166447,0.009624766,0.010473124,0.01388817,0.016022806,0.018218639,0.023309002,0.024389328,0.019043995,0.017478236,0.017049025,0.01891664,0.075546536,0.026888307,0.022798354,0.05086383,0.009485063,0.013748192,0.016437478,0.017174938,0.034033843,0.022565059,0.001731688,-0.004315866
LA,-1.39E-10,-0.007002245,0.147372803,0.072121196,0.04381023,0.038730608,0.067853912,0.083269655,0.052530455,0.028046541,0.025588148,0.019892907,0.022730629,0.01757136,0.021852015,0.013279981,0.012017795,0.015683927,0.035566164,0.080313044,0.035039726,0.007718755,-0.015183262,-0.018514213,-0.006130341,0.006347452
ME,-1.39E-10,-0.007002245,0.011252297,0.006811804,0.006354031,0.005283702,0.006032984,0.003192196,0.004087303,-0.003277366,0.006690396,0.010899523,0.013984582,0.011960154,-0.010179037,-0.011825812,0.011781764,0.012561838,0.011592781,-0.015483021,-0.014930007,-0.010120835,0.005750784,0.004280618,-0.005525183,-0.008058109
MD,-1.39E-10,-0.007002245,0.009141987,0.03691033,0.053495427,0.046804613,0.02254263,0.017021372,0.014370936,0.011594562,0.013933719,0.018094583,0.015630169,0.014764104,0.013894174,0.015674945,0.063838932,0.012504405,-0.013163887,-0.014286825,-0.014586583,-0.013699152,-0.015339311,-0.010913284,0.017148161,-0.004544256
MA,-1.39E-10,-0.007002245,0.037953388,0.100484868,0.107422748,0.072974818,0.034625917,0.024885722,0.02457737,0.024678505,0.018278473,0.020831035,0.024457182,0.025268891,0.033343267,0.01390825,0.011941273,-0.013333269,-0.01343524,-0.015468865,-0.015902272,-0.016021732,-0.014500573,-0.005647225,0.012642361,0.006931392
MI,-1.39E-10,-0.007002245,0.077288881,0.070925378,0.039060203,0.029476095,0.011240569,0.012018762,0.014723832,0.020094525,0.031974482,0.03118686,0.018636004,0.013114062,0.013223709,0.049032758,0.071476744,0.040591298,-0.011391156,-0.013453539,-0.013739266,0.007531877,0.014228353,0.04437391,0.023248034,0.007282933
MN,-1.39E-10,-0.007002245,0.006680196,0.011481268,0.028462798,0.031471981,0.012629211,0.015498723,0.017345962,0.023805456,0.034751446,0.026959717,0.012487703,-0.009508415,0.013653266,0.013483926,0.012164165,0.011942201,-0.013427023,-0.015232415,-0.01530926,-0.011493441,0.004242217,0.013943354,-0.004673659,-0.007652112
MS,-1.39E-10,-0.007002245,0.01998645,0.016014117,0.036426905,0.047699284,0.085562424,0.1046511,0.072510061,0.039853755,0.026563124,0.029562387,0.036164608,0.02387502,0.022775345,0.013558664,0.011969767,0.013597082,0.023678123,0.07970369,0.044506694,0.005801014,-0.012750007,-0.016190779,-0.004224361,0.03668806
MO,-1.39E-10,-0.007002245,0.007598315,0.010307597,0.01657715,0.017274054,0.01873934,0.019811792,0.037484935,0.049515928,0.023724143,0.027389132,0.015871568,0.021084708,0.016673162,0.012695237,0.022541878,0.021849846,0.042519494,0.033401262,0.00776324,-0.011438252,0.073203252,-0.007746895,0.003343552,0.015042985
MT,-1.39E-10,-0.007002245,0.013914575,0.001896642,-0.000631277,0.002308178,0.015222216,0.015782273,0.030100967,0.059662173,0.0505808,0.021987431,0.018551786,0.014338073,0.014291018,0.034812587,0.011939993,0.028419856,0.016681222,0.009788111,0.010271804,0.033130072,0.042077049,0.016855958,-0.013506205,-0.0099709
NE,-1.39E-10,-0.007002245,0.006516118,0.006513108,0.012917854,0.021749937,0.013676779,0.012951586,0.020379815,0.026340062,0.034973312,0.029725457,0.013531406,0.012440326,0.011685538,0.012806132,0.024857051,-0.013865324,-0.012280565,-0.015722704,-0.009918941,-0.013752073,-0.009356686,-0.010572627,-0.003347402,-0.004736483
